
After 230000 games - Mr.Q: 64.3%, Random: 35.6%, Draws: 0.1% , epsilon 0.25014595964799796
After 231000 games - Mr.Q: 62.5%, Random: 37.4%, Draws: 0.1% , epsilon 0.24864137147488
After 232000 games - Mr.Q: 62.1%, Random: 37.9%, Draws: 0.0% , epsilon 0.2471248266468552
After 233000 games - Mr.Q: 64.0%, Random: 35.9%, Draws: 0.1% , epsilon 0.24563423428880268
After 234000 games - Mr.Q: 63.7%, Random: 36.3%, Draws: 0.0% , epsilon 0.24413456615883883
After 235000 games - Mr.Q: 65.8%, Random: 34.2%, Draws: 0.0% , epsilon 0.24265861302435898
After 236000 games - Mr.Q: 61.4%, Random: 38.6%, Draws: 0.0% , epsilon 0.2411802472482837
After 237000 games - Mr.Q: 65.7%, Random: 34.3%, Draws: 0.0% , epsilon 0.23975140280557128
After 238000 games - Mr.Q: 64.7%, Random: 35.3%, Draws: 0.0% , epsilon 0.23830862131179345
After 239000 games - Mr.Q: 66.3%, Random: 33.7%, Draws: 0.0% , epsilon 0.23691195137164944
After 240000 games - Mr.Q: 65.2%, Random: 34.8%, Draws: 0.0% , epsilon 0.2354824894420153
After 241000 games - Mr.Q: 66.3%, Random: 33.6%, Draws: 0.1% , epsilon 0.23408669844404398
After 242000 games - Mr.Q: 64.8%, Random: 35.2%, Draws: 0.0% , epsilon 0.2326659071903763
After 243000 games - Mr.Q: 67.7%, Random: 32.3%, Draws: 0.0% , epsilon 0.23126507115811348
After 244000 games - Mr.Q: 62.8%, Random: 37.1%, Draws: 0.1% , epsilon 0.22985267122398703
After 245000 games - Mr.Q: 66.8%, Random: 33.2%, Draws: 0.0% , epsilon 0.2284619191727808
After 246000 games - Mr.Q: 64.8%, Random: 35.2%, Draws: 0.0% , epsilon 0.22710547060000338
After 247000 games - Mr.Q: 67.8%, Random: 32.2%, Draws: 0.0% , epsilon 0.225753463592836
After 248000 games - Mr.Q: 68.9%, Random: 31.0%, Draws: 0.1% , epsilon 0.22441848193420597
After 249000 games - Mr.Q: 66.8%, Random: 33.1%, Draws: 0.1% , epsilon 0.22306194848658942
After 250000 games - Mr.Q: 69.5%, Random: 30.5%, Draws: 0.0% , epsilon 0.22175596618863821
After 251000 games - Mr.Q: 67.3%, Random: 32.5%, Draws: 0.2% , epsilon 0.22044021467760275
After 252000 games - Mr.Q: 67.1%, Random: 32.9%, Draws: 0.0% , epsilon 0.21911430183715563
After 253000 games - Mr.Q: 68.1%, Random: 31.7%, Draws: 0.2% , epsilon 0.21779527517197514
After 254000 games - Mr.Q: 66.6%, Random: 33.3%, Draws: 0.1% , epsilon 0.21648548770758555
After 255000 games - Mr.Q: 69.6%, Random: 30.4%, Draws: 0.0% , epsilon 0.2151844378410831
After 256000 games - Mr.Q: 69.3%, Random: 30.7%, Draws: 0.0% , epsilon 0.21393099460105383
After 257000 games - Mr.Q: 71.5%, Random: 28.5%, Draws: 0.0% , epsilon 0.21267953557479616
After 258000 games - Mr.Q: 69.4%, Random: 30.4%, Draws: 0.2% , epsilon 0.21141150650369966
After 259000 games - Mr.Q: 70.3%, Random: 29.7%, Draws: 0.0% , epsilon 0.2101703724172455
After 260000 games - Mr.Q: 67.9%, Random: 32.0%, Draws: 0.1% , epsilon 0.20888325261198265
After 261000 games - Mr.Q: 70.0%, Random: 29.9%, Draws: 0.1% , epsilon 0.2076370270309049
After 262000 games - Mr.Q: 68.3%, Random: 31.6%, Draws: 0.1% , epsilon 0.2064031902188675
After 263000 games - Mr.Q: 71.8%, Random: 28.2%, Draws: 0.0% , epsilon 0.20519186885151253
After 264000 games - Mr.Q: 67.6%, Random: 32.4%, Draws: 0.0% , epsilon 0.20396746259479587
